reply_comment_total,digg_count,date,AF,video,comment_id
2,5,2025-03-30,在中国把甲亢病治好了 呲牙,video17,comment12698
0,0,2025-04-07,角度不同 捂脸,video18,comment20354
0,0,2025-04-11,我还以为是我卡了,video42,comment56262
0,0,2025-04-01,世界人民大团结万岁！,video27,comment46070
0,0,2025-04-10,甲亢哥正经起来好帅,video1,comment109
0,1,2025-03-31,来挑战一下重庆1949的高牢,video18,comment17799
0,0,2025-04-03,回广东吗,video11,comment7776
0,0,2025-03-29,多带这玩意玩下。,video17,comment14623
0,1,2025-03-27,kobe drink 紫薇别走,video5,comment2789
0,0,2025-04-17,感谢你，兄弟！,video27,comment36069
0,0,2025-03-28,没毛病 偷笑,video11,comment8610
0,0,2025-03-31,让甲亢哥宣传下成都酒店的花洒哈哈哈哈,video20,comment28758
0,1,2025-04-02,来广东，哥带你吃烧鹅,video18,comment17254
0,0,2025-04-09,看着腿抖,video18,comment19679
1,3,2025-04-06,在哪里直播的啊,video38,comment51156
0,0,2025-03-30,嘿，bro 惊喜,video2,comment697
1,0,2025-03-30, Ban 啊哈哈哈,video17,comment14079
0,0,2025-03-31,还有super idol,video10,comment6334
0,0,2025-04-09,拿了啥？,video41,comment54929
2,0,2025-03-30,自由的体现就是在路上可以随便走走是吗？,video16,comment12050
2,0,2025-03-31,隧道哪来的网？,video19,comment27954
0,1,2025-04-02,你比很多中国人都清醒 咖啡,video27,comment39833
10,191,2025-04-04,你们有没有发现 传统华人女性 去了英美久了 说多了英语 面容都会变,video34,comment49408
0,0,2025-04-11,查查抓抓,video41,comment54023
0,0,2025-03-27,我们的血统什么时候变了？？,video8,comment4909
0,0,2025-04-08,腿软……,video18,comment20028
0,1,2025-04-18,我脚出汗了,video18,comment16562
0,0,2025-03-30,同生活在一个地球村，除了生活习惯，习俗和宗教不一样。其他的我们都一样 抠鼻,video8,comment4443
0,0,2025-04-02,微笑,video29,comment47060
2,3,2025-04-01,他在重庆啦！ 憨笑马上就见到了,video19,comment26762
50,140,2025-03-26,信的话请高人吧，高铁网络卡死,video9,comment5594
0,0,2025-04-03,狗皮膏药,video33,comment49310
0,1,2025-04-02,这条视频成功的让我成为了你的粉丝,video27,comment39687
0,0,2025-03-26,当时坐高铁玩儿了一路都是一直有信号,video9,comment6117
0,0,2025-04-03,真正的自信，不须要外国人的认同,video27,comment43113
0,2,2025-04-14,很有道理，确实值得所有中国人反思,video27,comment37620
0,0,2025-03-31,他居然会用筷子。,video24,comment33518
4,2,2025-03-28,我腰好痛 是要直了吗 流泪 流泪,video13,comment10105
0,0,2025-04-03,今天不直播吗,video18,comment21782
0,0,2025-03-31,嘴唇子都辣翻了,video24,comment32766
2,18,2025-03-26,友好交流就行，没必要这麽奉承吧 抠鼻,video5,comment2583
0,3,2025-03-26,这是不是低估了老外的智商了 捂脸,video6,comment3521
0,0,2025-04-01,在这个全球化时代，强烈感觉到文化大融合的时代快来了。,video27,comment45649
0,0,2025-04-10,谁在喜欢芒果台 黑脸,video41,comment54185
1,43,2025-03-27,150 我的天爷 真敢开口 拼夕夕18块啊,video3,comment1174
0,9,2025-04-03,我觉得这哥们虽然咋咋呼呼比较搞，但是内心应该挺善良,video26,comment35630
0,5,2025-04-02,知道中国为啥叫中国吗 这只是复兴 ,video27,comment36550
0,1,2025-04-09,重庆赢了 赞 赞 赞,video39,comment51862
0,2,2025-03-31,换一下翻译吧,video18,comment16350
0,0,2025-04-10,奶奶是什么…… 请回答 看,video41,comment54328
3,0,2025-04-01,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,video25,comment34652
0,0,2025-04-12,你来合福线试试欸，全程卡到爆 看,video9,comment6033
1,0,2025-04-01,火锅端上来时候真像嘟嘟 看,video25,comment34830
0,0,2025-03-31,解辣最好的是牛奶,video24,comment33332
0,1,2025-04-01,可以啊，朋友。我们需要你这样的朋友。,video27,comment40186
0,1,2025-03-31,让他去流水线干两天 微笑,video19,comment27054
0,7,2025-04-08,别说，还真好听，作者也真是牛 赞,video39,comment51588
4,6,2025-03-26,北京不卡吗我们这隧道卡,video9,comment5616
0,6,2025-03-31,来中国一趟稳重多了 灵机一动,video17,comment12641
0,0,2025-04-09,周末不忙来趟衡阳,video41,comment54698
0,0,2025-04-07,Ronaldo Better 捂脸,video18,comment20434
0,0,2025-04-07,居安思危,video27,comment40877
0,0,2025-04-05,到底回答了什么 捂脸,video34,comment49732
1,0,2025-04-05,我儿子今天非要让我带他去中国找他，我说我哪里知道他下一站去哪里，,video18,comment20846
0,1,2025-03-29,这个我买过20一个，批发价不会超过10快 捂脸,video3,comment1464
0,0,2025-04-14,人才啊,video39,comment51968
0,0,2025-04-03,不建议你回来！,video11,comment7770
0,0,2025-03-30,给你发的私信记得看一下哦,video18,comment25316
0,0,2025-03-31,呛气嗓了 哈哈,video24,comment33080
0,0,2025-04-03,我还说等他来西安给他递个特色小吃。看完你这个，算鸟算鸟 尬笑,video33,comment49225
5,1,2025-03-31,为啥我的卡 捂脸,video19,comment27023
0,0,2025-04-12,我还以为我卡了 捂脸,video42,comment55649
0,0,2025-04-03,分析的很正确，希望更多人能有清醒的认识,video27,comment42506
0,0,2025-04-11,惊恐 裂开,video42,comment55851
22,1996,2025-03-31,京沪高铁全是运送上班族的 网能不好吗 憨笑 赞,video19,comment26516
0,0,2025-03-31,来东北试试，我让你们知道什么叫做东北人。,video24,comment33690
4,1,2025-03-30,兄弟，来河南了得去老君山,video17,comment12553
1,1,2025-04-03,笑死了,video29,comment46862
0,0,2025-04-02,师尊没有来啊 师尊 师尊呢,video30,comment47436
0,1,2025-03-30,黑神话悟空，甲亢就是 黑悟空 看,video18,comment18164
0,0,2025-04-11,太卡了,video42,comment56890
4,59,2025-04-01,哈哈哈，外国人吃辣不行 捂脸,video25,comment33959
0,1,2025-03-30,快来广州，感受粤语的洗礼 看 看 看 看,video18,comment18331
0,0,2025-03-27,泪奔,video10,comment7021
0,0,2025-04-09,确实好听 泣不成声,video39,comment52367
0,2,2025-04-01,是的，七七一针见血 坏笑喜欢你的敏锐 坏笑,video27,comment38466
1,2,2025-03-31,这是真的假的？,video18,comment16256
0,0,2025-03-30,来广西看三月三啊 大笑,video18,comment24850
0,0,2025-03-29,小伙子在中国搞内向了！,video17,comment14608
0,3,2025-04-13,看得我两腿发软。 捂脸 捂脸 捂脸,video18,comment15368
0,0,2025-04-05,我想看他是怎么下来的，上去容易下来难啊！,video18,comment21174
0,0,2025-03-31,肉眼可见的开心 捂脸 捂脸 捂脸,video17,comment12638
0,1,2025-04-02,要笑死我了 看,video18,comment17293
2,0,2025-03-30,我去,video17,comment13896
0,0,2025-04-06,我在炕上躺着 腿已经吓软了,video18,comment20638
0,0,2025-03-29,国内能看直播，软件都连不上。,video6,comment3350
0,0,2025-04-07,Brother hyperthyroidism will definitely not come to Xuanhua Zhangjiakou Hebei If he comes I'll go to see him directly Comments are evidence 微笑,video18,comment20331
0,0,2025-03-29,这哥们在台湾吗,video7,comment3801
0,0,2025-04-01,直播圣体,video25,comment34672
0,0,2025-04-01,随便吧，中国不在乎，中国人也不在乎，主要是多来点帅哥，看着也赏心悦目一点,video27,comment45088
0,4,2025-03-25,给甲亢哥当日本人整了,video3,comment1405
0,0,2025-03-31,仙之人兮列如麻,video20,comment28535
2,11,2025-03-31,熊猫还是舒克贝塔,video20,comment28381
0,5,2025-04-02,总结：戒骄戒躁，不卑不亢，不要因为外人的夸奖吹捧迷失自己。切记保持初心,video27,comment36542
1,1,2025-03-31,他直播，用的这个号吗？？？,video18,comment17857
0,0,2025-04-11,兄弟们 我要逃离长沙了 不然会被堵,video39,comment51861
0,0,2025-04-01,很中肯,video27,comment45155
0,0,2025-04-05,光看到我的脚腕都已经在痛了。 九转大肠,video18,comment21191
0,2,2025-04-06,说出来就没有惊喜了,video38,comment51255
0,0,2025-03-28,中国体育就看你们了,video11,comment8676
0,0,2025-04-04,可以去广西吗？,video18,comment21402
0,0,2025-03-28,黑龙不是龙,video10,comment6719
0,0,2025-04-02,只要他们在外国平台也夸就行最好时不时说中文，卷一点的来学非遗传播传播，我们的文化系统自带反思 看,video27,comment43417
1,2,2025-04-02,本来中国就是好呀，交通，安全，美食，文化都比外国好啊，他们捧杀本来就没啥冲击感啊。,video27,comment38268
0,0,2025-04-10,哪个城市缺少吃喝玩乐 捂脸几乎没有,video41,comment54359
8,3285,2025-03-31,甲亢哥猛然感觉找到精神故乡哈哈哈 看,video20,comment28313
0,0,2025-03-30,这是上海城隍庙 呲牙,video3,comment1677
0,0,2025-04-03,老美被吓的赶紧加关税,video27,comment42268
0,0,2025-04-01,换翻译,video18,comment22794
0,0,2025-04-09,谁编的的曲子，好有意思，这么有才啊，同胞们,video39,comment52297
0,0,2025-04-02,带甲亢去围岛演习啊,video28,comment46710
1,0,2025-03-31,泪奔 泪奔 泪奔,video24,comment33366
0,2,2025-03-28,被一棒打后背打哭那会最有意思,video15,comment11653
0,0,2025-03-28,来我们这大集看看 看,video13,comment10573
0,0,2025-04-11,我以为是我卡了，刚准备开骂垃圾 电信 九转大肠 九转大肠 九转大肠 九转大肠,video42,comment56956
0,0,2025-04-04,吓死人,video18,comment21311
0,1,2025-04-22,哈哈哈哈哈哈，是回！俺们错了 捂脸,video11,comment7300
1,4,2025-04-02,西方媒体抹黑也要经历，东方打破西方媒体谣言也要经历，东方被捧杀也要经历，这都是历史。都要经历,video27,comment36920
0,0,2025-04-03,哈哈哈哈哈哈哈哈全是偶买噶！,video18,comment21957
0,0,2025-04-03,透彻 捂脸,video27,comment42448
0,2,2025-04-03,只要展现中国真实情况，不浮夸，不隐藏，怎么捧杀我们也是不怕的，让世界知道中国的真实发展并不是坏事,video27,comment37999
0,3,2025-04-01,为什么没有经典后空翻 微笑,video18,comment15715
0,1,2025-04-04,哇哇哇，观点好厉害,video27,comment38907
0,0,2025-03-30,什么时候去新疆让西方媒体破防一下 呲牙,video17,comment14463
0,0,2025-04-11,由俭入奢易，由奢返俭难。,video42,comment56189
0,0,2025-03-26,捂脸,video10,comment7168
2,0,2025-03-28,中不中,video15,comment11895
0,1,2025-03-31,我都怕给压断了掉下去,video18,comment17825
0,0,2025-03-31,甲亢哥来中国之后怎么感觉面部曲线都柔和了 看,video1,comment552
0,0,2025-04-04,注意安全啊，看得我提心吊胆的,video18,comment21284
0,0,2025-03-28,笑死了,video14,comment11562
0,0,2025-04-05,中国在聚焦未来，外国在聚焦中国，所以，捧杀也好，敌视也好，中国对外国这些平民有期待什么吗？旅游？只是顺便的。文化？中国文化那么多，教出来的韩国，日本，越南……没啥用。顶多是把你们当客人了，大门打开，欢迎。,video27,comment41496
0,0,2025-04-04,这货真有甲亢吧，要不就精神不太正常。 捂脸 捂脸 捂脸,video24,comment31269
0,12,2025-03-26,啥意思啊 发呆,video4,comment2487
0,0,2025-03-31,中国行回去之后，你就是——买噶哥,video18,comment23513
0,0,2025-03-29,瓦蓝瓦蓝的天空,video17,comment14877
0,0,2025-03-31,两个保镖吃美了,video24,comment32904
0,0,2025-04-12,别说长沙文和有了，深圳当年开文和有的时候我连1块钱都没去消费,video41,comment53971
0,0,2025-03-27,众所周知，不吸也能抽象 暗中观察,video10,comment6991
0,2,2025-04-04,我们喜欢听，也喜欢吹，但是知道我们一直都还是处于 发展中国家 比心,video27,comment37865
1,6,2025-03-28,跑登封了？,video15,comment11607
0,0,2025-03-31,没信号的换个安卓旗舰吧，你们那破水果，我上个厕所都没信号 捂脸,video19,comment28199
0,0,2025-04-05,哈哈哈哈哈哈哈哈哈,video36,comment50588
0,0,2025-04-01,二倍速笑死了 捂脸,video25,comment35154
0,2,2025-04-06,重庆要是有海不得是夜之城原型啊 憨笑,video32,comment48084
0,2,2025-03-28,让他开开三年之后的国产车 看,video13,comment10277
0,0,2025-03-31,梦开始的地方 微笑,video4,comment2418
0,0,2025-03-28,雷戈 法号,video14,comment11569
0,0,2025-03-26,你这是在哪儿？？？怎么还大雪纷飞的？我这儿今天32度啊 捂脸 捂脸 捂脸,video8,comment5344
0,0,2025-03-31,下一站可以到洛阳看牡丹 呲牙,video18,comment23419
0,0,2025-03-26,批发的我记得这玩意,video3,comment2129
1,0,2025-04-13,我看这视频就恐高 黑脸,video18,comment18854
0,0,2025-04-01,中文可以,video27,comment45735
0,0,2025-04-11,我还以为我卡了来 呲牙,video42,comment56618
3,0,2025-03-28,他是嘎哈的啊,video13,comment10201
0,0,2025-04-09,那老板出片了， 打脸 打脸 打脸,video41,comment54881
0,1,2025-04-06,可是我们中国人就是很自信啊，不必捧杀,video27,comment38795
0,0,2025-03-31,我不敢爬 捂脸 捂脸 捂脸,video18,comment23435
0,0,2025-03-30,come to Chang Zhou it is well worth visiting I hope you can go to ChangZhou 憨笑,video18,comment25070
0,1,2025-04-02,这个角度确实，是经过思考的，然后你说的很好,video27,comment39673
0,0,2025-04-04,赞 赞 赞我是不敢上去的 捂脸 捂脸,video18,comment21263
0,2,2025-04-01,看了这个视频给我头晕了几天 晕 晕 晕,video18,comment16178
1,1,2025-03-29,那是少林寺 捂脸,video16,comment12146
0,0,2025-03-31,吓死了,video18,comment24594
0,1,2025-04-02,我活的不轻松，但现在的中国我觉得很好,video27,comment40023
0,1,2025-04-07,我一个女孩子看了10遍 太可爱 ,video37,comment50889
0,0,2025-03-31,该来广东吃白切鸡了吧 尬笑,video18,comment23607
0,0,2025-03-30,少林寺的弟子去台湾、和于北辰切磋一下,video16,comment12087
0,1,2025-03-31,你不是喜欢后翻吗？来个空后翻呗 不看 不看,video18,comment17735
0,0,2025-03-30,最后一句翻译错了吧,video18,comment25267
0,0,2025-04-05,我敢笑,video28,comment46308
0,0,2025-03-29,扯头发卖是认真的吗？ 发呆,video12,comment9415
0,0,2025-04-07,感谢,video27,comment40995
0,0,2025-03-31,已经恐高了 泪奔 泪奔 泪奔 泪奔,video18,comment24102
0,0,2025-03-30,老内，开疆扩土的时候你们要第一个上，我们垫后 看,video11,comment8158
0,0,2025-04-01,我已经恐高了,video18,comment22849
0,0,2025-04-02,抽象,video30,comment47644
0,0,2025-04-14,我刚还在骂自己这里的网咋那么差 捂脸 捂脸,video42,comment55983
0,0,2025-04-07,见好就收,video27,comment40933
0,0,2025-03-31,自嗨有意思吗,video19,comment27538
0,0,2025-04-01,甲亢哥会不会 出来时好好的，回不去了 捂脸 ,video19,comment27455
0,0,2025-03-31,整点啤酒 就好了,video24,comment33368
0,0,2025-04-01,没毛病,video27,comment45170
1,1,2025-03-31,那我坐的是假高铁吗，信号能缓冲看个电视都足矣了,video19,comment26961
1,0,2025-03-24,开幕雷击,video2,comment995
0,0,2025-03-29,黄山去吗,video17,comment14661
0,1,2025-03-29,科比drink笑死我了,video10,comment6314
0,0,2025-03-26,举报了,video8,comment5529
0,0,2025-04-04,伏拉夫哭晕在厕所,video27,comment41985
0,6,2025-04-05,Speed心底是一个善良的小孩。,video26,comment35579
0,1,2025-04-15,我看到你爬那么高，我都害怕,video18,comment16591
0,6,2025-04-02,你的认识很深刻，真的不错。而且在流量时代，能逆流量而行的外国博主几乎没有见过，可能是我刷的少，但是你是唯一。能说出这个话，更能看出你对这个大地的感情，论迹不论心，很感谢你。对于我们国人而言，更要谨记在心的是戒骄戒躁，稳步前行。在五千年历史中，我们一直站在世界巅峰，所以现在的我们更应该为国家的伟大复兴贡献自己一份力。,video27,comment35725
0,0,2025-03-28,黑脸广东人,video11,comment8485
0,2,2025-04-11,嗯 捧杀才是最致命的 居安思危 放平心态就好,video27,comment37641
0,0,2025-03-28,哈哈哈哈哈 这下全世界都知道河南骗人了 捂脸,video14,comment11554
0,0,2025-03-26,表演值130,video3,comment2106
0,0,2025-03-31,10块钱一个 捂脸，收150 捂脸,video3,comment1569
0,1,2025-03-31,f3篮球，火到国际上去了,video20,comment28455
0,0,2025-04-05,笑死我了 全明星,video32,comment48416
0,1,2025-03-31,这两个保镖最爽一次旅游 赞 赞 赞,video24,comment30754
0,0,2025-03-28,没去趟天津真是可惜了,video10,comment6691
0,0,2025-03-31,捂脸感觉甲亢都治疗好了一些,video1,comment210
0,0,2025-03-28,俺不中嘞 捂脸,video15,comment11803
0,0,2025-04-19,文和友，天狂必有雨！……,video41,comment53149
0,0,2025-03-29,标准发音 赞 赞 赞,video11,comment8281
